Artists,Name,Preview-URL,Spotify-URL
Avicii,You Make Me,,https://open.spotify.com/track/1KRH1AhRdmYh0OTZa5QAqn
Jill Scott; Anthony Hamilton,So In Love - feat. Anthony Hamilton,https://p.scdn.co/mp3-preview/d5ec8cf5bcd61bd04b89944590c976e7ee9fd787?cid=8d0a5699034242008341d2221f54d18d,https://open.spotify.com/track/78mehkHd1WUDxhcLXkbrLb
Rusko,Woo Boost,,https://open.spotify.com/track/2aNyZbeTHirn7ToWq7IGym
Ty Dolla $ign; Nathaniel Alford; Twice As Nice; Lil Wayne; The-Dream,Love U Better (feat. Lil Wayne & The-Dream),https://p.scdn.co/mp3-preview/8917010fb6f1883ff95e85abf35428d98904f29b?cid=8d0a5699034242008341d2221f54d18d,https://open.spotify.com/track/270aLuFCbX32hhBr8MQyPM
Bee Gees,More Than a Woman - 2009 Remastered Version,,https://open.spotify.com/track/3zJsnfuodQaY1LC7nqWif2
Ace Wilder,Busy Doin' Nothin',https://p.scdn.co/mp3-preview/a8bca3766ae98ca2ce4904b815df0334266c9731?cid=8d0a5699034242008341d2221f54d18d,https://open.spotify.com/track/1zSXQIah3KQsjvo5sRNRq7
Lorde,Perfect Places,,https://open.spotify.com/track/7ARveOiD31w2Nq0n5FsSf8
Katy Perry,Firework,,https://open.spotify.com/track/4r6eNCsrZnQWJzzvFh4nlg
Fifth Harmony; Fetty Wap,All In My Head (Flex) (feat. Fetty Wap),https://p.scdn.co/mp3-preview/c3c593d81c48111296aa5c777d8191305914845e?cid=8d0a5699034242008341d2221f54d18d,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
Little Mix,Touch,,https://open.spotify.com/track/6B7op3kK1kFQp4Ck1UZtK5
