Artists,Name,Preview-URL,Spotify-URL
C & C Music Factory,Gonna Make You Sweat (Everybody Dance Now),,https://open.spotify.com/track/0Kh42XxPit9dybhNLRqU5f
ScHoolboy Q; BJ The Chicago Kid,Studio,,https://open.spotify.com/track/29gsi1zZrZxdStACmTQB0Z
Ty Dolla $ign; Nathaniel Alford; Twice As Nice; Lil Wayne; The-Dream,Love U Better (feat. Lil Wayne & The-Dream),https://p.scdn.co/mp3-preview/8917010fb6f1883ff95e85abf35428d98904f29b?cid=33046789d13d49dda7597ce0554f1919,https://open.spotify.com/track/270aLuFCbX32hhBr8MQyPM
Four Tops,Bernadette,,https://open.spotify.com/track/4y9T6OmBrIvFSOytjuSy2t
Sia; Diplo; Labrinth; LSD,Thunderclouds,,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
Maroon 5; Future,Cold (feat. Future),,https://open.spotify.com/track/2NlTOhsAamXOaZciOXbITb
Stevie Wonder,My Cherie Amour,,https://open.spotify.com/track/5OaBN89f3MvgZfl3k2CR58
Wale; Major Lazer; WizKid; Dua Lipa,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",https://p.scdn.co/mp3-preview/e42ef243c060f5a8f64255e45d861f9099c5cd57?cid=33046789d13d49dda7597ce0554f1919,https://open.spotify.com/track/7rfiXyFb5M9BqdkvKvVEiB
Chris Brown,Grass Ain't Greener,https://p.scdn.co/mp3-preview/662bfd9472881acb4310393fd289dbf98344e96d?cid=33046789d13d49dda7597ce0554f1919,https://open.spotify.com/track/7k802XMtsF57i4WS2M2MGg
Kendrick Lamar; SZA,All The Stars (with SZA),,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
